web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668864078-33","https://shopee.co.id/mall/brands/11042849","Woffi Man","https://shopee.co.id/woffimanofficialshop","","1RB","94% (hitungan jam)","9,7RB","4.8 (2,6RB penilaian)","29 bulan lalu","null","KOTA SURABAYA","80%offWoffi Kaos Pria - Denimize StripesRp380.000Rp75.00083 TerjualKOTA SURABAYA","https://shopee.co.id/Woffi-Kaos-Pria-Denimize-Stripes-i.279757087.7345304149?sp_atk=26a40f7b-9bd9-46b8-93c1-54a4b57c7753&xptdk=26a40f7b-9bd9-46b8-93c1-54a4b57c7753","null","null","null","null","null"
"1668864294-34","https://shopee.co.id/mall/brands/11042849","WIN Indonesia","https://shopee.co.id/winofficialshop","","31","75% (hitungan jam)","2,7RB","4.7 (387 penilaian)","9 bulan lalu","null","KAB. BANDUNG","47%offWIN - Parfume Unisex TravelRp80.000Rp42.400101 TerjualKAB. BANDUNG","https://shopee.co.id/WIN-Parfume-Unisex-Travel-i.680129571.20855210672?sp_atk=5258280a-fcaa-4ab2-b3cd-36b36efef3ad&xptdk=5258280a-fcaa-4ab2-b3cd-36b36efef3ad","null","null","null","null","null"
"1668864347-35","https://shopee.co.id/mall/brands/11042849","Will K","https://shopee.co.id/willklondon","","193","75% (hitungan jam)","18,5RB","4.8 (1,6RB penilaian)","5 tahun lalu","null","KOTA SURABAYA","47%offWILL-K LONDON T-shirt Contemporary Work Wear Sage GreenCashback 11%Rp189.900Rp99.90050 TerjualKOTA SURABAYA","https://shopee.co.id/WILL-K-LONDON-T-shirt-Contemporary-Work-Wear-Sage-Green-i.57319952.9653584802?sp_atk=85a54e13-d2f2-4b38-9e7c-d31b380ca5da&xptdk=85a54e13-d2f2-4b38-9e7c-d31b380ca5da","null","null","null","null","null"
"1668864388-36","https://shopee.co.id/mall/brands/11042849","WHSTL.","https://shopee.co.id/whstlofficial","","971","93% (hitungan jam)","55,8RB","4.8 (16,5RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","40%offWHSTL. Topi 5 Panel Pria - Clone Series (5 Pilihan Warna)Diskon Rp5RBRp120.000Rp72.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/WHSTL.-Topi-5-Panel-Pria-Clone-Series-(5-Pilihan-Warna)-i.58359064.5832274561?sp_atk=6bd2e16f-2ab1-48ea-a978-5150cb5c409f&xptdk=6bd2e16f-2ab1-48ea-a978-5150cb5c409f","null","null","null","null","null"
"1668864466-37","https://shopee.co.id/mall/brands/11042849","WGB","https://shopee.co.id/wahgedebanget","","290","70% (hitungan jam)","11,2RB","4.9 (6,4RB penilaian)","6 tahun lalu","null","KOTA TANGERANG","Masker+ PRO BIG SIZE Bahan 3 Lapis Non Medis Tebal Earloop Korea Anti Virus WGBGrosirRp34.9002,1RB TerjualKOTA TANGERANG","https://shopee.co.id/Masker-PRO-BIG-SIZE-Bahan-3-Lapis-Non-Medis-Tebal-Earloop-Korea-Anti-Virus-WGB-i.6308095.6654182982?sp_atk=93b3715d-13ff-4be4-9f5a-a9b3cde09ba6&xptdk=93b3715d-13ff-4be4-9f5a-a9b3cde09ba6","null","null","null","null","null"
"1668864546-38","https://shopee.co.id/mall/brands/11042849","Welldone","https://shopee.co.id/welldone.store","","272","80% (hitungan jam)","182,3RB","4.8 (81,8RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","46%offWelldone Hoodie - Hoodie Fantastic BlackRp349.000Rp189.0003RB TerjualKAB. BANDUNG","https://shopee.co.id/Welldone-Hoodie-Hoodie-Fantastic-Black-i.96896363.6131859864?sp_atk=27767056-9823-44ac-8896-d2fcfb9a10a1&xptdk=27767056-9823-44ac-8896-d2fcfb9a10a1","null","null","null","null","null"
"1668864624-39","https://shopee.co.id/mall/brands/11042849","Wellborn","https://shopee.co.id/wellborncompany","","341","97% (hitungan jam)","382,8RB","4.8 (173,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","74%offWellborn Polo Two Tone Shirt CollectionHadiah GratisRp265.000Rp69.0002,3RB TerjualKOTA BANDUNG","https://shopee.co.id/Wellborn-Polo-Two-Tone-Shirt-Collection-i.218995246.9819735704?sp_atk=57ffcfa7-2e5a-45c4-806c-b2fc2bad3caa&xptdk=57ffcfa7-2e5a-45c4-806c-b2fc2bad3caa","null","null","null","null","null"
"1668864892-40","https://shopee.co.id/mall/brands/11042849","Watchout","https://shopee.co.id/watchout.casual.jeans","","421","100% (hitungan jam)","20,1RB","4.9 (8,7RB penilaian)","31 bulan lalu","null","KOTA BANDUNG","70%offWatchout Short Sleeve Koko - JS8007401Hadiah GratisRp439.900Rp129.900157 TerjualKOTA BANDUNG","https://shopee.co.id/Watchout-Short-Sleeve-Koko-JS8007401-i.243163767.6558577471?sp_atk=95380c6a-00c6-4cce-9273-4296a4ce45ab&xptdk=95380c6a-00c6-4cce-9273-4296a4ce45ab","null","null","null","null","null"
"1668865022-41","https://shopee.co.id/mall/brands/11042849","Wassup WSP","https://shopee.co.id/wassup_wsp","","132","100% (hitungan menit)","4,5RB","4.8 (4,4RB penilaian)","18 bulan lalu","null","KAB. TANGERANG","54%off【BPOM】WASSUP BIOAQUA  Essence Mask 10x the effect Whitening Moisturizing SKIN CARE Sleeping MASKER wajah Sheet MASK 25g/28ml Buy 7pcs get Rp1900 offPilih 7, diskon Rp1.900Rp3.699 - Rp4.09910RB+ TerjualKAB. TANGERANG","https://shopee.co.id/%E3%80%90BPOM%E3%80%91WASSUP-BIOAQUA-Essence-Mask-10x-the-effect-Whitening-Moisturizing-SKIN-CARE-Sleeping-MASKER-wajah-Sheet-MASK-25g-28ml-Buy-7pcs-get-Rp1900-off-i.456602822.17125030498?sp_atk=7c37c1d3-731c-4ad0-b73f-b262d938e3a8&xptdk=7c37c1d3-731c-4ad0-b73f-b262d938e3a8","null","null","null","null","null"
"1668865158-42","https://shopee.co.id/mall/brands/11042849","Waskito","https://shopee.co.id/batikwaskito","","291","92% (hitungan jam)","12,1RB","4.9 (2RB penilaian)","3 tahun lalu","null","KOTA SURABAYA","Masker Batik Katun murah (random)GrosirRp3.000370 TerjualKOTA SURABAYA","https://shopee.co.id/Masker-Batik-Katun-murah-(random)-i.173440985.13128151389?sp_atk=fb70e689-e9f8-4caa-90ec-b3c10c956384&xptdk=fb70e689-e9f8-4caa-90ec-b3c10c956384","null","null","null","null","null"
"1668865237-43","https://shopee.co.id/mall/brands/11042849","Warning Clothing","https://shopee.co.id/warningclothing","","367","81% (hitungan jam)","14,6RB","4.8 (6,4RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","Warning Praise 1 Polo CapRp149.000334 TerjualKOTA BANDUNG","https://shopee.co.id/Warning-Praise-1-Polo-Cap-i.223114590.5740497020?sp_atk=c8291143-6bae-41c8-b624-8cff4de3ced8&xptdk=c8291143-6bae-41c8-b624-8cff4de3ced8","null","null","null","null","null"
"1668865309-44","https://shopee.co.id/mall/brands/11042849","WARDKICK","https://shopee.co.id/wardkick_official_shop","","53","78% (hitungan jam)","5,1RB","4.8 (650 penilaian)","4 tahun lalu","null","KAB. BANDUNG BARAT","50%offWARDKICK Sweater Crewneck black white MetalRp350.000Rp175.0001,5RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/WARDKICK-Sweater-Crewneck-black-white-Metal-i.145609753.11809220219?sp_atk=bde2cb4b-8d8a-4a0e-89dc-73f203ba0358&xptdk=bde2cb4b-8d8a-4a0e-89dc-73f203ba0358","null","null","null","null","null"
"1668865382-45","https://shopee.co.id/mall/brands/11042849","Walrus","https://shopee.co.id/walrusfashion","","93","97% (hitungan jam)","13,9RB","4.9 (13,7RB penilaian)","4 tahun lalu","null","KOTA SURABAYA","56%offWalrus Kaos Polo Basic (Polos) Putih  T1021501Diskon Rp5RBRp269.900Rp119.900164 TerjualKOTA SURABAYA","https://shopee.co.id/Walrus-Kaos-Polo-Basic-(Polos)-Putih-T1021501-i.89671317.6213714446?sp_atk=85121943-f178-4398-acf9-caa8542150ed&xptdk=85121943-f178-4398-acf9-caa8542150ed","null","null","null","null","null"
"1668865454-46","https://shopee.co.id/mall/brands/11042849","WALKOUT","https://shopee.co.id/walkoutclothing","","79","100% (hitungan menit)","20RB","4.8 (606 penilaian)","5 tahun lalu","null","KOTA CIMAHI","28%offWalkout Wallet Bio BrownDiskon 50%Pilih 2, diskon Rp5.000Rp160.000Rp115.000141 TerjualKOTA CIMAHI","https://shopee.co.id/Walkout-Wallet-Bio-Brown-i.68131673.6041062824?sp_atk=9c2fedc3-c715-4b34-bd3e-867c49a7822b&xptdk=9c2fedc3-c715-4b34-bd3e-867c49a7822b","null","null","null","null","null"
"1668865597-47","https://shopee.co.id/mall/brands/11042849","VSLSS","https://shopee.co.id/vslss.official","","135","96% (hitungan menit)","1,5RB","4.9 (118 penilaian)","4 tahun lalu","null","KOTA BANDUNG","70%offVslss - Hoodie - Establert - BlackDiskon Rp20RBRp359.000Rp107.7001 TerjualKOTA BANDUNG","https://shopee.co.id/Vslss-Hoodie-Establert-Black-i.74213140.3183746429?sp_atk=c9379eea-aa82-42bc-be5a-29cc37ba070e&xptdk=c9379eea-aa82-42bc-be5a-29cc37ba070e","null","null","null","null","null"
"1668865634-48","https://shopee.co.id/mall/brands/11042849","Vreedom","https://shopee.co.id/vreedomofficial","","38","77% (hitungan jam)","2,2RB","4.9 (430 penilaian)","13 bulan lalu","null","KOTA DEPOK","32%offVREEDOM Hermit Oversized T-shirt BlackDiskon 5%Rp249.000Rp169.999116 TerjualKOTA DEPOK","https://shopee.co.id/VREEDOM-Hermit-Oversized-T-shirt-Black-i.572294517.15017849452?sp_atk=46908bf2-b456-44f4-9528-5adf3805a460&xptdk=46908bf2-b456-44f4-9528-5adf3805a460","null","null","null","null","null"
"1668865662-49","https://shopee.co.id/mall/brands/11042849","Voordurend Love","https://shopee.co.id/voordurend","","236","89% (hitungan jam)","12,1RB","4.8 (3,2RB penilaian)","4 tahun lalu","null","KOTA DENPASAR","10%offVoordurend Love - Mackas Icon Laxtee -  Unisex - Black – Tshirt – Relaxed Fit – Cotton Combed 20sCashback 5%Rp179.100 - Rp199.00073 TerjualKOTA DENPASAR","https://shopee.co.id/Voordurend-Love-Mackas-Icon-Laxtee-Unisex-Black-%E2%80%93-Tshirt-%E2%80%93-Relaxed-Fit-%E2%80%93-Cotton-Combed-20s-i.119754295.4779971818?sp_atk=9de983b2-859d-4857-b70d-a3027512b240&xptdk=9de983b2-859d-4857-b70d-a3027512b240","null","null","null","null","null"
"1668865712-50","https://shopee.co.id/mall/brands/11042849","Von Dutch","https://shopee.co.id/vondutchofficial","","434","45% (hitungan jam)","30,3RB","4.9 (16,9RB penilaian)","33 bulan lalu","null","KOTA JAKARTA BARAT","30%offVondutch / Kaos / Tshirt / baju 0095BLRp251.300 - Rp359.000446 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vondutch-Kaos-Tshirt-baju-0095BL-i.228625083.7737245822?sp_atk=d2c62344-1327-405b-8bc3-a9e046d04344&xptdk=d2c62344-1327-405b-8bc3-a9e046d04344","null","null","null","null","null"
"1668865759-51","https://shopee.co.id/mall/brands/11042849","VOLKVOG","https://shopee.co.id/volkvog","","306","99% (hitungan menit)","37RB","4.9 (7,7RB penilaian)","4 tahun lalu","null","KOTA BEKASI","43%offVolkvog Jeans Chino Panjang Genova SlimfitRp350.000Rp199.5001RB TerjualKOTA BEKASI","https://shopee.co.id/Volkvog-Jeans-Chino-Panjang-Genova-Slimfit-i.78022274.1336544032?sp_atk=fa36ed09-e656-41eb-bdec-9eaa33a32ff1&xptdk=fa36ed09-e656-41eb-bdec-9eaa33a32ff1","null","null","null","null","null"
"1668865800-52","https://shopee.co.id/mall/brands/11042849","Volcom","https://shopee.co.id/volcomofficial","","608","100% (hitungan menit)","42,7RB","4.9 (18,4RB penilaian)","26 bulan lalu","null","KAB. BADUNG","30%offVOLCOM - MFL ICONIC STONE PO BLKRp895.000Rp626.00053 TerjualKAB. BADUNG","https://shopee.co.id/VOLCOM-MFL-ICONIC-STONE-PO-BLK-i.315833408.13038069587?sp_atk=c922942f-f9c4-4b1e-844f-487b892a1e85&xptdk=c922942f-f9c4-4b1e-844f-487b892a1e85","null","null","null","null","null"
"1668865857-53","https://shopee.co.id/mall/brands/11042849","VNOISE","https://shopee.co.id/vnoise","","38","80% (hitungan jam)","1,2RB","4.6 (353 penilaian)","5 bulan lalu","null","KAB. BANDUNG","42%offVNOISE - Celana Jogger Pria Trendy Korean StyleGrosirRp120.000Rp70.000611 TerjualKAB. BANDUNG","https://shopee.co.id/VNOISE-Celana-Jogger-Pria-Trendy-Korean-Style-i.804116510.21816706231?sp_atk=d18086bf-91a2-4ae3-8f59-c40436cae1f1&xptdk=d18086bf-91a2-4ae3-8f59-c40436cae1f1","null","null","null","null","null"
"1668865913-54","https://shopee.co.id/mall/brands/11042849","VNI.ID","https://shopee.co.id/vni.id","","63","100% (hitungan jam)","63RB","4.7 (48,5RB penilaian)","20 bulan lalu","null","KOTA JAKARTA BARAT","77%offVNI.ID Basic Sweater Polos New York 199X Pria & Wanita SIZE M-XXLDiskon Rp500Rp39.800 - Rp56.6949,5RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/VNI.ID-Basic-Sweater-Polos-New-York-199X-Pria-Wanita-SIZE-M-XXL-i.404771892.6182446887?sp_atk=6fd358d0-3718-4cec-b390-8a4decffff4a&xptdk=6fd358d0-3718-4cec-b390-8a4decffff4a","null","null","null","null","null"
"1668865937-55","https://shopee.co.id/mall/brands/11042849","Vitlexs","https://shopee.co.id/vitlexsofficial","","61","44% (hitungan jam)","9,4RB","4.7 (1,8RB penilaian)","26 bulan lalu","null","KAB. BANDUNG","40%offVitlexs Sandal Pria Slip On Art Font VitlexsDiskon Rp20RBPilih 2, diskon 5%Rp200.000Rp120.00022 TerjualKAB. BANDUNG","https://shopee.co.id/Vitlexs-Sandal-Pria-Slip-On-Art-Font-Vitlexs-i.312777406.11623187022?sp_atk=562060b7-65eb-469b-a695-ded96ab34d6d&xptdk=562060b7-65eb-469b-a695-ded96ab34d6d","null","null","null","null","null"
"1668865964-56","https://shopee.co.id/mall/brands/11042849","Vish","https://shopee.co.id/vishbyntl","","101","59% (hitungan jam)","17%","8RB","4.9 (1,2RB penilaian)","null","KOTA JAKARTA BARAT","Vish - (Ready Stock) Ventela x Nevertoolavish: H13 Noir HighRp469.800111 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vish-(Ready-Stock)-Ventela-x-Nevertoolavish-H13-Noir-High-i.218254552.7149898391?sp_atk=47d1ed07-8216-4a15-91a3-d14a4f7a02c0&xptdk=47d1ed07-8216-4a15-91a3-d14a4f7a02c0","null","null","null","null","null"
"1668865995-57","https://shopee.co.id/mall/brands/11042849","Visbar","https://shopee.co.id/visbar.id","","171","92% (hitungan jam)","72,2RB","4.9 (17,9RB penilaian)","3 tahun lalu","null","KOTA DEPOK","25%offVisbar TShirt T13 - MermaidDiskon Rp1RBPilih 3, bayar Rp250.000Rp169.000Rp126.7501,6RB TerjualKOTA DEPOK","https://shopee.co.id/Visbar-TShirt-T13-Mermaid-i.166044163.5616761704?sp_atk=fa417c1e-7735-4f5f-b011-3cd7b5762078&xptdk=fa417c1e-7735-4f5f-b011-3cd7b5762078","null","null","null","null","null"
"1668866038-58","https://shopee.co.id/mall/brands/11042849","VIBESAPPAREL","https://shopee.co.id/vibesapparel_","","218","95% (hitungan jam)","30,8RB","4.8 (8,8RB penilaian)","4 tahun lalu","null","KOTA TANGERANG","55%offVIBES APPAREL | Wirepeace | Coach JacketDiskon 20%Murah LebayRp350.000Rp159.0001,2RB TerjualKOTA TANGERANG","https://shopee.co.id/VIBES-APPAREL-Wirepeace-Coach-Jacket-i.106062905.6765038927?sp_atk=51f4a268-0237-4e1f-9140-a4d6b6d5ec6b&xptdk=51f4a268-0237-4e1f-9140-a4d6b6d5ec6b","null","null","null","null","null"
"1668866271-59","https://shopee.co.id/mall/brands/11042849","Vialli Milano","https://shopee.co.id/viallimilano","","259","64% (hitungan jam)","1,8RB","4.9 (1,5RB penilaian)","27 bulan lalu","null","KOTA JAKARTA BARAT","Danatella Polo Stripe Shirt Wanita lengan pendekRp229.000156 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Danatella-Polo-Stripe-Shirt-Wanita-lengan-pendek-i.298649135.8811076206?sp_atk=8d312b07-aaf4-4059-a9cb-e4b39d0f2d30&xptdk=8d312b07-aaf4-4059-a9cb-e4b39d0f2d30","null","null","null","null","null"
"1668866307-60","https://shopee.co.id/mall/brands/11042849","Verticalgoods","https://shopee.co.id/verticalgoods","","169","97% (hitungan jam)","40,6RB","4.8 (15,3RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","56%offVerticalgoods | T-shirt Oversize | BLURRY Kaos HitamKombo HematRp180.000Rp79.5004,3RB TerjualKOTA TANGERANG","https://shopee.co.id/Verticalgoods-T-shirt-Oversize-BLURRY-Kaos-Hitam-i.42407758.9143856822?sp_atk=ab560395-3af9-4e32-ad05-7e2919560d21&xptdk=ab560395-3af9-4e32-ad05-7e2919560d21","null","null","null","null","null"
"1668866332-61","https://shopee.co.id/mall/brands/11042849","Verkoop","https://shopee.co.id/verkoop.store","","56","58% (hitungan jam)","2RB","4.9 (1,9RB penilaian)","9 bulan lalu","null","KOTA JAKARTA SELATAN","60%offVerkoop Long Sleeve Tshirt ArmyRp299.000Rp119.00033 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Verkoop-Long-Sleeve-Tshirt-Army-i.698748973.20458886939?sp_atk=a30c8c1a-f351-4b11-8694-26e875c8a7d8&xptdk=a30c8c1a-f351-4b11-8694-26e875c8a7d8","null","null","null","null","null"
"1668866355-62","https://shopee.co.id/mall/brands/11042849","Vercline","https://shopee.co.id/vercline","","34","40% (hitungan jam)","1,9RB","4.8 (238 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","30%offVercline Oversized T-Shirt DOBIERp425.000Rp297.5003 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vercline-Oversized-T-Shirt-DOBIE-i.92018159.19057695179?sp_atk=80f04507-8d23-4397-887f-58fce2f0b984&xptdk=80f04507-8d23-4397-887f-58fce2f0b984","null","null","null","null","null"
"1668866386-63","https://shopee.co.id/mall/brands/11042849","Vengoz","https://shopee.co.id/vengoz","","251","74% (hitungan jam)","125,8RB","4.8 (57,4RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","64%offVENGOZ Kemeja Pria - Adya Casual ShirtDiskon 50%Pilih 2, diskon 3%Rp359.000Rp129.0002,7RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/VENGOZ-Kemeja-Pria-Adya-Casual-Shirt-i.58259176.9618220973?sp_atk=93a8ee45-8ede-4f97-bbf3-e47386a00d70&xptdk=93a8ee45-8ede-4f97-bbf3-e47386a00d70","null","null","null","null","null"
"1668866435-64","https://shopee.co.id/mall/brands/11042849","Veljko","https://shopee.co.id/veljko.official","","283","97% (hitungan jam)","57,4RB","4.8 (26,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","45%offVeljko T-shirt Larva BlackDiskon Rp2,5RBRp135.000Rp74.5001,9RB TerjualKOTA BANDUNG","https://shopee.co.id/Veljko-T-shirt-Larva-Black-i.219487388.3929010782?sp_atk=b8d62b7e-10d1-4190-a3f8-8b6969b2d1d0&xptdk=b8d62b7e-10d1-4190-a3f8-8b6969b2d1d0","null","null","null","null","null"
"1668866666-65","https://shopee.co.id/mall/brands/11042849","Vearst","https://shopee.co.id/vearst","","389","90% (hitungan jam)","47,8RB","4.8 (15,5RB penilaian)","33 bulan lalu","null","KOTA BANDUNG","41%offVearst Work Pants Sable 540 Cut BlackRp260.000 - Rp439.000708 TerjualKOTA BANDUNG","https://shopee.co.id/Vearst-Work-Pants-Sable-540-Cut-Black-i.224781834.6278574673?sp_atk=95478fc3-3260-48d7-8068-2d299edd4805&xptdk=95478fc3-3260-48d7-8068-2d299edd4805","null","null","null","null","null"
"1668866698-66","https://shopee.co.id/mall/brands/11042849","VCRL","https://shopee.co.id/vcrl.id","","53","92% (hitungan jam)","2,6RB","4.6 (5,1RB penilaian)","28 bulan lalu","null","KAB. BANDUNG","50%offVCRL Sweater Pria Sablon Polos Basic Bahan Cotton Flece OriginalDiskon Rp5RBRp75.000 - Rp150.00010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/VCRL-Sweater-Pria-Sablon-Polos-Basic-Bahan-Cotton-Flece-Original-i.282506205.8515037788?sp_atk=68c5e2d8-4bef-418c-b694-8f27e1d07d43&xptdk=68c5e2d8-4bef-418c-b694-8f27e1d07d43","null","null","null","null","null"
"1668866738-67","https://shopee.co.id/mall/brands/11042849","Varial","https://shopee.co.id/varialapparel.co","","242","96% (hitungan jam)","11,9RB","4.8 (2,4RB penilaian)","4 tahun lalu","null","KAB. BADUNG","18%offJAKET JEANS PRIA / TRUCKER JEANS / STONEWASH /DENIM / V TRD CONS MEDICINE BLUEDiskon Rp20RBRp430.000Rp352.60091 TerjualKAB. BADUNG","https://shopee.co.id/JAKET-JEANS-PRIA-TRUCKER-JEANS-STONEWASH-DENIM-V-TRD-CONS-MEDICINE-BLUE-i.105948078.6487864075?sp_atk=ac9577f1-a78a-41d6-acb2-90e285fd266d&xptdk=ac9577f1-a78a-41d6-acb2-90e285fd266d","null","null","null","null","null"
"1668866769-68","https://shopee.co.id/mall/brands/11042849","Vampire Dead And Revenge","https://shopee.co.id/vampiredeadandrevenge","","579","99% (hitungan jam)","57,6RB","4.8 (21RB penilaian)","33 bulan lalu","null","KAB. BANTUL","44%offVampire Kingdom T-shirt Short Sleeve | Gorgeo | BlackDiskon Rp2,5RBPilih 2, diskon Rp3.000Rp169.000Rp95.0001,1RB TerjualKAB. BANTUL","https://shopee.co.id/Vampire-Kingdom-T-shirt-Short-Sleeve-Gorgeo-Black-i.229008774.13814294907?sp_atk=1783cd8b-01ae-4003-8786-527d4242d0b2&xptdk=1783cd8b-01ae-4003-8786-527d4242d0b2","null","null","null","null","null"
"1668866796-69","https://shopee.co.id/mall/brands/11042849","Urbain Inc","https://shopee.co.id/urbaininc","","103","59% (hitungan jam)","77,7RB","4.8 (16,6RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","45%offUrbain Beanie/Kupluk Wool Hitam LogoPilih 2, bayar Rp100.000Rp100.000Rp55.000846 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Urbain-Beanie-Kupluk-Wool-Hitam-Logo-i.155156587.4563253173?sp_atk=4822398e-46fb-4349-b570-ddf352f9af2f&xptdk=4822398e-46fb-4349-b570-ddf352f9af2f","null","null","null","null","null"
"1668866821-70","https://shopee.co.id/mall/brands/11042849","Uprise","https://shopee.co.id/uprisedenim","","89","97% (hitungan jam)","80,5RB","4.9 (7,1RB penilaian)","33 bulan lalu","null","KOTA JAKARTA UTARA","UPRISE Oversize Polo Black , White , GrayDiskon Rp15RBRp179.000103 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UPRISE-Oversize-Polo-Black-White-Gray-i.231103920.8498349348?sp_atk=f80f1a6c-f704-4028-b49f-999dfaa3ca87&xptdk=f80f1a6c-f704-4028-b49f-999dfaa3ca87","null","null","null","null","null"
"1668866853-71","https://shopee.co.id/mall/brands/11042849","Unxplnd","https://shopee.co.id/unxplndmarket","","159","77% (hitungan jam)","24,7RB","4.9 (5,5RB penilaian)","25 bulan lalu","null","KAB. TANGERANG","27%offUnxplnd | Beanie | Basic OG WovenRp95.000Rp69.0001,1RB TerjualKAB. TANGERANG","https://shopee.co.id/Unxplnd-Beanie-Basic-OG-Woven-i.325670631.9348232420?sp_atk=9e64506e-f1b7-4949-9454-987614cd2c34&xptdk=9e64506e-f1b7-4949-9454-987614cd2c34","null","null","null","null","null"
"1668866884-72","https://shopee.co.id/mall/brands/11042849","UNTCKD","https://shopee.co.id/untckd_official","","485","80% (hitungan jam)","96,8RB","4.8 (18,5RB penilaian)","7 tahun lalu","null","KOTA JAKARTA UTARA","67%offUNTCKD Quill FannypackRp150.000Rp50.000226 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UNTCKD-Quill-Fannypack-i.1304055.3414141404?sp_atk=c01d2bca-2952-47de-a150-93b39d91fd90&xptdk=c01d2bca-2952-47de-a150-93b39d91fd90","null","null","null","null","null"
"1668866915-73","https://shopee.co.id/mall/brands/11042849","Uno.co","https://shopee.co.id/unoco.official","","78","97% (hitungan jam)","20,7RB","4.9 (5,6RB penilaian)","36 bulan lalu","null","KOTA JAKARTA TIMUR","9%offUno.co Kemeja Formal Office Shirt lengan pendek hitam Big Size Xl-7XlCashback 3%Rp209.000 - Rp269.000151 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Uno.co-Kemeja-Formal-Office-Shirt-lengan-pendek-hitam-Big-Size-Xl-7Xl-i.204790309.9576464727?sp_atk=5d3461bd-49bc-4bb1-8d4d-cd467248e3e2&xptdk=5d3461bd-49bc-4bb1-8d4d-cd467248e3e2","null","null","null","null","null"
"1668866944-74","https://shopee.co.id/mall/brands/11042849","UNKL347","https://shopee.co.id/unkl347official","","383","98% (hitungan jam)","132,5RB","4.8 (39RB penilaian)","4 tahun lalu","null","KOTA SURAKARTA (SOLO)","70%offUNKL347 T-Shirt Hitam Bahan Combed Motif Simpel BDTMRp260.000Rp78.0001,2RB TerjualKOTA SURAKARTA (SOLO)","https://shopee.co.id/UNKL347-T-Shirt-Hitam-Bahan-Combed-Motif-Simpel-BDTM-i.80732230.14790223061?sp_atk=230b741c-6bc4-48fa-a558-e31304a45254&xptdk=230b741c-6bc4-48fa-a558-e31304a45254","null","null","null","null","null"
"1668866979-75","https://shopee.co.id/mall/brands/11042849","Unitedhart","https://shopee.co.id/unitedhart_official","","95","74% (hitungan jam)","18,3RB","4.9 (2,8RB penilaian)","27 bulan lalu","null","KOTA BANDUNG","UH! Heavyweight Cotton 16s Pocket Tees BlackRp178.000226 TerjualKOTA BANDUNG","https://shopee.co.id/UH!-Heavyweight-Cotton-16s-Pocket-Tees-Black-i.293283681.4896740595?sp_atk=acbc9268-e4f1-4c53-8fcf-58a11591d582&xptdk=acbc9268-e4f1-4c53-8fcf-58a11591d582","null","null","null","null","null"
"1668867040-76","https://shopee.co.id/mall/brands/11042849","Unionwell","https://shopee.co.id/unionwelloriginal","","202","87% (hitungan jam)","14,6RB","4.9 (5,3RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","40%offUnionwell Tshirt Unionround Logo BlackRp300.000Rp180.000235 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Unionwell-Tshirt-Unionround-Logo-Black-i.168583478.11156284810?sp_atk=011edec6-02d6-40f0-a98b-c3dd30a24bfe&xptdk=011edec6-02d6-40f0-a98b-c3dd30a24bfe","null","null","null","null","null"
"1668867089-77","https://shopee.co.id/mall/brands/11042849","Underage","https://shopee.co.id/underage.indonesia","","167","88% (hitungan jam)","10,3RB","4.9 (4,7RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","54%offUnderage T-Shirt wild and free long sleve black streetwear | kaos motorDiskon Rp10RBMurah LebayRp138.600 - Rp163.350707 TerjualKOTA BANDUNG","https://shopee.co.id/Underage-T-Shirt-wild-and-free-long-sleve-black-streetwear-kaos-motor-i.199857305.4456360290?sp_atk=fd62dec2-ebac-401c-b3ae-da9b01e8a4f9&xptdk=fd62dec2-ebac-401c-b3ae-da9b01e8a4f9","null","null","null","null","null"
